ID,Name
1625,"Mocenigo, Andrea"
2156,DELETED
3467,Venezia OSB S. Georgius Maior
00017138,Regno Italico July 1806
1408,Padova OSB S. Anna
00021806,Padova OFM S. Francesco Grande
3765,Padova BU
00015143,Paris BnF
3479,Venezia BN
4085,Padova OSB S. Justina
3483,Venezia OP S. Maria Rosarii
1904,Antonio da Venezia
4240,d'Ayala Sebastiano 
00010583,"Margaritis, Domenico"
2832,Milano BN
00023820,"Ciccolus, Flavius"
00016901,"Anonymous, Italy"
00017969,Anonymous
00016355,Roma B. Casanatense
00022791,"Anonymous, Italy"
901,Piacenza OSB S. Sisto
00016768,Mauritius Bergomensis OSB
00010056,Brescia B. Queriniana
3601,"Cazzamini Mussi, Francesco"
1471,Milano B. Trivulziana
4073,"Stibbs, Edward William"
3463,Cambridge UL
2699,"Tennant, Enriqueta Augustina "
00016201,"Manchester, JRUL"
1861,"Spinelli, Faustino"
00020986,Regno Italico Sept. 1806
1875,M. P.
694,Polirone OSB S. Benedictus
00011037,Mantova B. Teresiana
2590,Pico Master
00013191,"Lomenie de Brienne, Etienne Charles"
00014395,"Spencer, George John"
00024367,"Chantilly, Musee Conde"
1645,"Asteo, Girolamo, OFMConv"
00021323,"Accursius, Bonus"
4204,"Bradel, Alexis-Pierre"
4209,"Oxford, Bodleian library"
00010351,"Anonymous, Italy 1475-1525"
00010413,"Anonymous, Italy 1501-50"
1639,"Arrigoni, Gabriele"
3549,Murano OSBCam S. Michael
1638,"Molin, Marco"
00036743,"Lutcher Stark, Miriam"
00016113,Austin TX HRHRC
0011046,Legatoria Conti Borbone
3331,"Rattey, Clifford C."
00015680,"Rattey, Hope"
3442,London BL
00016568,"Wandstad, N."
00016569,"Francus de Frankenau, Georgius"
00015181,"Thott, Otto"
00015179,Copenhagen KB
00015557,Ragusa OP S. Domenico
43,"Lechi, Luigi"
00021391,"Anonymous illuminator, Florence"
00016518,"Acquaviva D'Aragona, Andrea Matteo"
00010673,"Anonymous, Italy"
00016540,"Miliarius, Leonardus"
00018017,Arezzo OSB SS. Flora e Lucilla
00018018,"Scarmalli, Gabriele Maria, OSB"
00017097,"Anonymous, Italy 1875-1925"
2325,"De Marinis, Tammaro"
138,Venezia Cini
00011615,"Bruce, John Wyndham"
00010187,"Monson, William John"
2381,Sotheby
00017050,Bologna OSB S. Proculus
4453,Berlin SB
00015896,Paris BU Pharmacie 
00016832,Edinburgh UL
2640,"Amati, Giacinto"
00023301,Milano B. dei Servi
00016834,Uppsala UL
4603,Herzogliche Bibliothek Gotha
00016835,Valmadonna Collection
00016836,Jerusalem NL
00014566,"Thorpe, Thomas"
00012294,"Finch, Robert"
3445,"Oxford, Taylor Institution"
3281,"London, McLeish and Sons"
819,"Alvarotti, Alfonso"
2734,"Padova, Seminario vescovile"
3042,Boston Mass. King's Chapel
3523,Harvard UL
4751,Cesena OSB S. Maria Montis
00029275,"Cooke, John, OSA"
00029274,Cesena B. Malatestiana
2334,Anonymous
00010061,"Fortunio, Giacomo"
00010062,Valdobbiadene OFMCap
1180,"Treviso, Cappuccini, Locus Capuccinorum, OFMCap"
00010035,"Treviso, B. Cap"
4086,"Ballino, Giulio Cesare"
00010352,"Anonymous, Italy 1725-75"
4016,"Morelli, Jacopo"
1112,"Venier, Girolamo"
00023096,"Marinus, illuminator"
3230,"Amadi, Francesco"
2678,"Cicogna, Emmanuele Antonio "
3551,Venezia B. Correr
00016556,Trieste Jesuits
2839,Wien ONB
00015156,Lucca B. Statale
00025457,Bollani family
00014883,"Vienna, _sterreichische Nationalbibliothek"
00013839,"Pinelli, Maffeo"
00012182,"Elmsley, Peter "
3466,"Zilotti, Giovanni Maria"
3458,Locarno OFM Madonna del Sasso 
2169,"Locarno, Scuola Tecnica"
00028245,Locarno OFMCap Madonna del Sasso
00016952,"Bordon, Benedetto"
1409,"Cosma, Giovanni"
1677,San Paolo d'Argon OSB SS. Paulus et Petrus
2141,Bergamo B. Angelo Mai